"substance","marker_residue","species","MRL","target_tissue","other_provisions","therapeutic_class","MRL_value","MRL_units","target_tissue_comb"
"Abamectin","Avermectin B1a","Bovine","10 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents acting against endo- and ectoparasites",10,"μg/kg","fat"
"Abamectin","Avermectin B1a","Bovine","20 μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents acting against endo- and ectoparasites",20,"μg/kg","liver"
"Abamectin","Avermectin B1a","Ovine","20 μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against endo- and ectoparasites",20,"μg/kg","muscle"
"Abamectin","Avermectin B1a","Ovine","50 μg/kg","Fat","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against endo- and ectoparasites",50,"μg/kg","fat"
"Abamectin","Avermectin B1a","Ovine","25 μg/kg","Liver","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against endo- and ectoparasites",25,"μg/kg","liver"
"Abamectin","Avermectin B1a","Ovine","20 μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against endo- and ectoparasites",20,"μg/kg","kidney"
"Absinthium extract","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Acetyl cysteine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Acetylmethionine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Acetylsalicylic acid","NOT APPLICABLE","All food producing species except fin fish","No MRL required","NOT APPLICABLE","Not for use in animals from which milk or eggs are produced for human consumption.","NO ENTRY",NA,NA,NA
"Acetylsalicylic acid DL-lysine","NOT APPLICABLE","All food producing species except fin fish","No MRL required","NOT APPLICABLE","Not for use in animals from which milk or eggs are produced for human consumption.","NO ENTRY",NA,NA,NA
"Adenosine and its 5’-mono-, 5’-di-and 5’ triphosphates","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Adonis vernalis","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias, at concentrations in the products not exceeding one part per hundred only.","NO ENTRY",NA,NA,NA
"Aesculus hippocastanum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations in the products not exceeding one part per ten only.","NO ENTRY",NA,NA,NA
"Agnus castus","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Ailanthus altissima","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Alanine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Alarelin","NOT APPLICABLE","All food-producing species","No MRL required","NOT APPLICABLE","NO ENTRY","Agents acting on the reproductive system",NA,NA,NA
"Albendazole","Sum of albendazole sulphoxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","All ruminants","100 μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","muscle"
"Albendazole","Sum of albendazole sulphoxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","All ruminants","100 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","fat"
"Albendazole","Sum of albendazole sulphoxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","All ruminants","1 000  μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against endoparasites",1000,"μg/kg","liver"
"Albendazole","Sum of albendazole sulphoxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","All ruminants","500 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against endoparasites",500,"μg/kg","kidney"
"Albendazole","Sum of albendazole sulphoxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","All ruminants","100 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","milk"
"Albendazole oxide","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","100 μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","muscle"
